x        m             v        
  5.11   4.563392691   1.020647393 
  5.12   4.573598768   1.020568213 
  5.13   4.583804057   1.020489643 
  5.14   4.594008563   1.020411676 
  5.15   4.604212293   1.020334304 
  5.16   4.614415251   1.020257523 
  5.17   4.624617445   1.020181325 
  5.18   4.634818880   1.020105704 
  5.19   4.645019561   1.020030654 
  5.20   4.655219495   1.019956168 
  5.21   4.665418686   1.019882240 
  5.22   4.675617141   1.019808865 
  5.23   4.685814865   1.019736036 
  5.24   4.696011864   1.019663746 
  5.25   4.706208142   1.019591992 
  5.26   4.716403705   1.019520765 
  5.27   4.726598559   1.019450062 
  5.28   4.736792708   1.019379875 
  5.29   4.746986158   1.019310200 
  5.30   4.757178914   1.019241031 
  5.31   4.767370981   1.019172362 
  5.32   4.777562363   1.019104189 
  5.33   4.787753066   1.019036505 
  5.34   4.797943095   1.018969305 
  5.35   4.808132454   1.018902584 
  5.36   4.818321148   1.018836337 
  5.37   4.828509182   1.018770560 
  5.38   4.838696561   1.018705246 
  5.39   4.848883289   1.018640390 
  5.40   4.859069370   1.018575989 
  5.41   4.869254810   1.018512037 
  5.42   4.879439612   1.018448530 
  5.43   4.889623782   1.018385461 
  5.44   4.899807323   1.018322828 
  5.45   4.909990240   1.018260625 
  5.46   4.920172537   1.018198848 
  5.47   4.930354218   1.018137493 
  5.48   4.940535288   1.018076554 
  5.49   4.950715751   1.018016028 
  5.50   4.960895610   1.017955910 
  5.51   4.971074870   1.017896195 
  5.52   4.981253535   1.017836881 
  5.53   4.991431609   1.017777962 
  5.54   5.001609096   1.017719435 
  5.55   5.011785999   1.017661295 
  5.56   5.021962323   1.017603539 
  5.57   5.032138071   1.017546162 
  5.58   5.042313248   1.017489161 
  5.59   5.052487856   1.017432531 
  5.60   5.062661899   1.017376270 
  5.61   5.072835382   1.017320373 
  5.62   5.083008308   1.017264837 
  5.63   5.093180680   1.017209657 
  5.64   5.103352502   1.017154831 
  5.65   5.113523778   1.017100355 
  5.66   5.123694511   1.017046225 
  5.67   5.133864704   1.016992439 
  5.68   5.144034361   1.016938991 
  5.69   5.154203485   1.016885880 
  5.70   5.164372079   1.016833102 
  5.71   5.174540148   1.016780653 
  5.72   5.184707693   1.016728530 
  5.73   5.194874719   1.016676731 
  5.74   5.205041229   1.016625252 
  5.75   5.215207226   1.016574089 
  5.76   5.225372712   1.016523241 
  5.77   5.235537691   1.016472703 
  5.78   5.245702167   1.016422473 
  5.79   5.255866142   1.016372548 
  5.80   5.266029619   1.016322925 
  5.81   5.276192601   1.016273601 
  5.82   5.286355092   1.016224574 
  5.83   5.296517094   1.016175839 
  5.84   5.306678610   1.016127396 
  5.85   5.316839643   1.016079240 
  5.86   5.327000195   1.016031370 
  5.87   5.337160271   1.015983783 
  5.88   5.347319872   1.015936475 
  5.89   5.357479001   1.015889445 
  5.90   5.367637662   1.015842690 
  5.91   5.377795856   1.015796207 
  5.92   5.387953587   1.015749995 
  5.93   5.398110857   1.015704049 
  5.94   5.408267669   1.015658369 
  5.95   5.418424025   1.015612951 
  5.96   5.428579929   1.015567793 
  5.97   5.438735382   1.015522893 
  5.98   5.448890387   1.015478249 
  5.99   5.459044948   1.015433858 
  6.00   5.469199065   1.015389718 
  6.01   5.479352743   1.015345827 
  6.02   5.489505983   1.015302183 
  6.03   5.499658787   1.015258783 
  6.04   5.509811159   1.015215626 
