x        m             v        
4.33   3.748879337   1.035719940 
4.34   3.759235864   1.035585458 
4.35   3.769591048   1.035451469 
4.36   3.779944895   1.035317985 
4.37   3.790297409   1.035185018 
4.38   3.800648597   1.035052579 
4.39   3.810998463   1.034920680 
4.40   3.821347012   1.034789330 
4.41   3.831694251   1.034658540 
4.42   3.842040185   1.034528318 
4.43   3.852384819   1.034398674 
4.44   3.862728160   1.034269615 
4.45   3.873070214   1.034141148 
4.46   3.883410985   1.034013282 
4.47   3.893750481   1.033886023 
4.48   3.904088708   1.033759377 
4.49   3.914425671   1.033633349 
4.50   3.924761377   1.033507946 
4.51   3.935095832   1.033383173 
4.52   3.945429042   1.033259033 
4.53   3.955761015   1.033135531 
4.54   3.966091755   1.033012672 
4.55   3.976421270   1.032890458 
4.56   3.986749567   1.032768892 
4.57   3.997076650   1.032647978 
4.58   4.007402528   1.032527717 
4.59   4.017727207   1.032408113 
4.60   4.028050693   1.032289167 
4.61   4.038372992   1.032170880 
4.62   4.048694113   1.032053253 
4.63   4.059014060   1.031936289 
4.64   4.069332841   1.031819987 
4.65   4.079650462   1.031704348 
4.66   4.089966930   1.031589373 
4.67   4.100282251   1.031475061 
4.68   4.110596433   1.031361412 
4.69   4.120909482   1.031248426 
4.70   4.131221404   1.031136102 
4.71   4.141532206   1.031024440 
4.72   4.151841895   1.030913438 
4.73   4.162150477   1.030803096 
4.74   4.172457959   1.030693411 
4.75   4.182764347   1.030584383 
4.76   4.193069649   1.030476010 
4.77   4.203373870   1.030368290 
4.78   4.213677017   1.030261221 
4.79   4.223979096   1.030154801 
4.80   4.234280115   1.030049028 
4.81   4.244580079   1.029943899 
4.82   4.254878995   1.029839412 
4.83   4.265176869   1.029735565 
4.84   4.275473708   1.029632354 
4.85   4.285769519   1.029529778 
4.86   4.296064306   1.029427832 
4.87   4.306358077   1.029326515 
4.88   4.316650839   1.029225823 
4.89   4.326942596   1.029125752 
4.90   4.337233356   1.029026301 
4.91   4.347523124   1.028927465 
4.92   4.357811907   1.028829241 
4.93   4.368099711   1.028731625 
4.94   4.378386541   1.028634615 
4.95   4.388672405   1.028538207 
4.96   4.398957308   1.028442397 
4.97   4.409241255   1.028347181 
4.98   4.419524253   1.028252556 
4.99   4.429806308   1.028158519 
5.00   4.440087426   1.028065064 
5.01   4.450367611   1.027972190 
5.02   4.460646871   1.027879891 
5.03   4.470925211   1.027788164 
5.04   4.481202636   1.027697006 
5.05   4.491479153   1.027606412 
5.06   4.501754767   1.027516378 
5.07   4.512029482   1.027426900 
5.08   4.522303306   1.027337975 
5.09   4.532576244   1.027249599 
5.10   4.542848300   1.027161767 
5.11   4.553119481   1.027074476 
5.12   4.563389791   1.026987722 
5.13   4.573659237   1.026901501 
5.14   4.583927823   1.026815808 
5.15   4.594195555   1.026730640 
5.16   4.604462438   1.026645993 
5.17   4.614728477   1.026561862 
5.18   4.624993677   1.026478245 
5.19   4.635258043   1.026395137 
5.20   4.645521581   1.026312533 
5.21   4.655784296   1.026230431 
5.22   4.666046191   1.026148826 
5.23   4.676307274   1.026067714 
5.24   4.686567547   1.025987092 
5.25   4.696827017   1.025906955 
5.26   4.707085688   1.025827299 
5.27   4.717343565   1.025748121 
5.28   4.727600652   1.025669418 
5.29   4.737856955   1.025591184 
5.30   4.748112477   1.025513416 
5.31   4.758367225   1.025436111 
5.32   4.768621201   1.025359265 
5.33   4.778874411   1.025282874 
5.34   4.789126860   1.025206934 
5.35   4.799378552   1.025131441 
5.36   4.809629490   1.025056393 
5.37   4.819879681   1.024981784 
5.38   4.830129127   1.024907613 
5.39   4.840377835   1.024833874 
5.40   4.850625806   1.024760565 
5.41   4.860873047   1.024687682 
5.42   4.871119561   1.024615221 
5.43   4.881365353   1.024543179 
5.44   4.891610426   1.024471552 
5.45   4.901854785   1.024400338 
5.46   4.912098435   1.024329532 
5.47   4.922341377   1.024259131 
5.48   4.932583618   1.024189131 
5.49   4.942825161   1.024119531 
5.50   4.953066010   1.024050325 
5.51   4.963306169   1.023981511 
5.52   4.973545642   1.023913086 
5.53   4.983784432   1.023845047 
5.54   4.994022544   1.023777389 
5.55   5.004259981   1.023710110 
5.56   5.014496748   1.023643208 
5.57   5.024732847   1.023576678 
5.58   5.034968282   1.023510517 
5.59   5.045203058   1.023444724 
5.60   5.055437178   1.023379294 
5.61   5.065670645   1.023314224 
5.62   5.075903464   1.023249512 
5.63   5.086135637   1.023185154 
5.64   5.096367168   1.023121149 
5.65   5.106598061   1.023057492 
5.66   5.116828319   1.022994181 
5.67   5.127057946   1.022931213 
5.68   5.137286944   1.022868586 
5.69   5.147515318   1.022806296 
5.70   5.157743071   1.022744340 
5.71   5.167970206   1.022682717 
5.72   5.178196727   1.022621423 
5.73   5.188422636   1.022560456 
5.74   5.198647937   1.022499813 
5.75   5.208872633   1.022439491 
5.76   5.219096728   1.022379488 
5.77   5.229320224   1.022319801 
5.78   5.239543125   1.022260428 
5.79   5.249765434   1.022201366 
5.80   5.259987153   1.022142613 
5.81   5.270208287   1.022084165 
5.82   5.280428838   1.022026022 
5.83   5.290648808   1.021968180 
5.84   5.300868202   1.021910636 
5.85   5.311087022   1.021853389 
5.86   5.321305271   1.021796437 
5.87   5.331522952   1.021739776 
5.88   5.341740068   1.021683405 
5.89   5.351956621   1.021627321 
5.90   5.362172615   1.021571522 
5.91   5.372388052   1.021516006 
5.92   5.382602936   1.021460771 
5.93   5.392817269   1.021405813 
5.94   5.403031053   1.021351133 
5.95   5.413244292   1.021296726 
5.96   5.423456989   1.021242591 
5.97   5.433669145   1.021188726 
5.98   5.443880764   1.021135129 
5.99   5.454091848   1.021081797 
6.00   5.464302401   1.021028730 
6.01   5.474512424   1.020975924 
6.02   5.484721920   1.020923377 
6.03   5.494930892   1.020871089 
6.04   5.505139343   1.020819056 
6.05   5.515347274   1.020767277 
6.06   5.525554689   1.020715749 
6.07   5.535761590   1.020664472 
6.08   5.545967979   1.020613443 
6.09   5.556173860   1.020562660 
6.10   5.566379233   1.020512122 
6.11   5.576584103   1.020461826 
6.12   5.586788471   1.020411772 
6.13   5.596992339   1.020361956 
6.14   5.607195711   1.020312377 
6.15   5.617398588   1.020263034 
6.16   5.627600972   1.020213925 
6.17   5.637802867   1.020165048 
6.18   5.648004274   1.020116401 
6.19   5.658205196   1.020067983 
6.20   5.668405634   1.020019792 
6.21   5.678605592   1.019971826 
6.22   5.688805072   1.019924084 
6.23   5.699004075   1.019876564 
6.24   5.709202604   1.019829265 
6.25   5.719400661   1.019782185 
6.26   5.729598248   1.019735322 
6.27   5.739795368   1.019688675 
6.28   5.749992022   1.019642243 
6.29   5.760188213   1.019596023 
6.30   5.770383943   1.019550014 
6.31   5.780579214   1.019504215 
6.32   5.790774028   1.019458625 
6.33   5.800968388   1.019413241 
6.34   5.811162294   1.019368063 
6.35   5.821355749   1.019323089 
6.36   5.831548756   1.019278317 
6.37   5.841741316   1.019233747 
6.38   5.851933432   1.019189376 
6.39   5.862125105   1.019145204 
6.40   5.872316337   1.019101229 
6.41   5.882507130   1.019057449 
6.42   5.892697486   1.019013864 
6.43   5.902887408   1.018970471 
6.44   5.913076896   1.018927271 
6.45   5.923265954   1.018884260 
6.46   5.933454582   1.018841439 
6.47   5.943642783   1.018798805 
6.48   5.953830559   1.018756359 
6.49   5.964017911   1.018714097 
6.50   5.974204841   1.018672019 
6.51   5.984391352   1.018630124 
6.52   5.994577445   1.018588411 
6.53   6.004763121   1.018546878 
6.54   6.014948383   1.018505525 
6.55   6.025133232   1.018464349 
6.56   6.035317670   1.018423350 
6.57   6.045501700   1.018382527 
6.58   6.055685321   1.018341878 
6.59   6.065868538   1.018301403 
6.60   6.076051350   1.018261099 
6.61   6.086233760   1.018220967 
6.62   6.096415770   1.018181005 
6.63   6.106597381   1.018141212 
6.64   6.116778595   1.018101586 
6.65   6.126959413   1.018062127 
6.66   6.137139838   1.018022834 
6.67   6.147319870   1.017983706 
6.68   6.157499512   1.017944740 
6.69   6.167678766   1.017905938 
6.70   6.177857632   1.017867296 
6.71   6.188036112   1.017828816 
6.72   6.198214209   1.017790494 
6.73   6.208391923   1.017752331 
6.74   6.218569256   1.017714325 
6.75   6.228746210   1.017676476 
6.76   6.238922786   1.017638782 
6.77   6.249098986   1.017601242 
6.78   6.259274811   1.017563856 
6.79   6.269450263   1.017526622 
6.80   6.279625344   1.017489540 
6.81   6.289800055   1.017452608 
6.82   6.299974397   1.017415826 
6.83   6.310148372   1.017379193 
6.84   6.320321981   1.017342708 
6.85   6.330495226   1.017306370 
6.86   6.340668109   1.017270177 
6.87   6.350840630   1.017234130 
6.88   6.361012792   1.017198227 
6.89   6.371184595   1.017162467 
6.90   6.381356042   1.017126850 
6.91   6.391527133   1.017091374 
6.92   6.401697870   1.017056039 
6.93   6.411868254   1.017020844 
6.94   6.422038287   1.016985788 
6.95   6.432207970   1.016950871 
6.96   6.442377305   1.016916090 
6.97   6.452546293   1.016881447 
6.98   6.462714934   1.016846939 
6.99   6.472883232   1.016812566 
7.00   6.483051186   1.016778327 
7.01   6.493218799   1.016744221 
7.02   6.503386071   1.016710249 
7.03   6.513553004   1.016676407 
7.04   6.523719600   1.016642697 
7.05   6.533885859   1.016609117 
7.06   6.544051782   1.016575667 
7.07   6.554217372   1.016542345 
7.08   6.564382630   1.016509151 
7.09   6.574547556   1.016476085 
7.10   6.584712152   1.016443145 
7.11   6.594876419   1.016410331 
7.12   6.605040359   1.016377641 
7.13   6.615203972   1.016345076 
7.14   6.625367261   1.016312635 
7.15   6.635530226   1.016280316 
7.16   6.645692868   1.016248120 
7.17   6.655855188   1.016216045 
7.18   6.666017189   1.016184091 
7.19   6.676178871   1.016152257 
7.20   6.686340234   1.016120542 
7.21   6.696501282   1.016088946 
7.22   6.706662014   1.016057468 
7.23   6.716822432   1.016026107 
7.24   6.726982536   1.015994864 
7.25   6.737142329   1.015963736 
7.26   6.747301811   1.015932723 
7.27   6.757460984   1.015901826 
7.28   6.767619848   1.015871042 
7.29   6.777778405   1.015840372 
7.30   6.787936656   1.015809815 
7.31   6.798094602   1.015779370 
7.32   6.808252244   1.015749037 
7.33   6.818409583   1.015718814 
7.34   6.828566621   1.015688702 
7.35   6.838723357   1.015658700 
7.36   6.848879795   1.015628807 
7.37   6.859035934   1.015599022 
7.38   6.869191776   1.015569346 
7.39   6.879347321   1.015539777 
7.40   6.889502572   1.015510314 
7.41   6.899657528   1.015480958 
7.42   6.909812191   1.015451707 
7.43   6.919966562   1.015422562 
7.44   6.930120643   1.015393521 
7.45   6.940274433   1.015364583 
7.46   6.950427935   1.015335750 
7.47   6.960581148   1.015307019 
7.48   6.970734075   1.015278390 
7.49   6.980886717   1.015249863 
7.50   6.991039073   1.015221437 
7.51   7.001191146   1.015193111 
7.52   7.011342936   1.015164886 
7.53   7.021494444   1.015136760 
7.54   7.031645671   1.015108734 
7.55   7.041796619   1.015080806 
7.56   7.051947288   1.015052975 
7.57   7.062097679   1.015025243 
7.58   7.072247793   1.014997607 
7.59   7.082397631   1.014970067 
7.60   7.092547194   1.014942624 
7.61   7.102696484   1.014915276 
7.62   7.112845500   1.014888022 
7.63   7.122994245   1.014860864 
7.64   7.133142718   1.014833799 
7.65   7.143290921   1.014806828 
7.66   7.153438855   1.014779949 
7.67   7.163586520   1.014753163 
7.68   7.173733918   1.014726469 
7.69   7.183881050   1.014699867 
7.70   7.194027916   1.014673355 
7.71   7.204174517   1.014646935 
7.72   7.214320855   1.014620604 
7.73   7.224466930   1.014594363 
7.74   7.234612742   1.014568211 
7.75   7.244758294   1.014542148 
7.76   7.254903586   1.014516173 
7.77   7.265048618   1.014490286 
7.78   7.275193392   1.014464487 
7.79   7.285337908   1.014438774 
7.80   7.295482167   1.014413148 
7.81   7.305626171   1.014387608 
7.82   7.315769920   1.014362154 
7.83   7.325913415   1.014336784 
7.84   7.336056656   1.014311500 
7.85   7.346199645   1.014286300 
7.86   7.356342382   1.014261184 
7.87   7.366484869   1.014236151 
7.88   7.376627105   1.014211202 
7.89   7.386769093   1.014186335 
7.90   7.396910832   1.014161551 
7.91   7.407052324   1.014136848 
7.92   7.417193570   1.014112227 
7.93   7.427334569   1.014087686 
7.94   7.437475324   1.014063227 
7.95   7.447615834   1.014038848 
7.96   7.457756101   1.014014548 
7.97   7.467896125   1.013990329 
7.98   7.478035908   1.013966188 
7.99   7.488175449   1.013942126 
8.00   7.498314750   1.013918142 
8.01   7.508453812   1.013894236 
8.02   7.518592635   1.013870408 
8.03   7.528731221   1.013846656 
8.04   7.538869569   1.013822982 
8.05   7.549007681   1.013799384 
8.06   7.559145557   1.013775862 
8.07   7.569283198   1.013752416 
8.08   7.579420605   1.013729045 
8.09   7.589557779   1.013705749 
8.10   7.599694721   1.013682528 
8.11   7.609831430   1.013659381 
8.12   7.619967908   1.013636308 
8.13   7.630104156   1.013613308 
8.14   7.640240175   1.013590382 
8.15   7.650375964   1.013567528 
8.16   7.660511526   1.013544747 
8.17   7.670646860   1.013522039 
8.18   7.680781967   1.013499401 
8.19   7.690916848   1.013476836 
8.20   7.701051504   1.013454341 
